meters,RM,name,Longitude,Latitude,bank
0,281.7,281.7_L,-113.98857,36.13265,L
250,281.86,281.86_L,-113.98844,36.13482,L
500,282.02,282.02_L,-113.98906,36.13698,L
750,282.19,282.19_L,-113.99045,36.13892,L
1000,282.34,282.34_L,-113.99148,36.14096,L
1250,282.47,282.47_L,-113.99207,36.143,L
1500,282.6,282.6_L,-113.99127,36.14493,L
1750,282.76,282.76_L,-113.99128,36.14716,L
2000,282.91,282.91_L,-113.99123,36.14942,L
2250,283.06,283.06_L,-113.99111,36.15162,L
2500,283.2,283.2_L,-113.99037,36.15366,L
2750,283.36,283.36_L,-113.98962,36.15583,L
3000,283.51,283.51_L,-113.98891,36.158,L
3250,283.66,283.66_L,-113.98775,36.1599,L
3500,283.81,283.81_L,-113.98737,36.16205,L
3750,283.95,283.95_L,-113.9865,36.16403,L
4000,284.11,284.11_L,-113.98592,36.16623,L
4250,284.27,284.27_L,-113.98551,36.16846,L
4500,284.44,284.44_L,-113.98568,36.17068,L
4750,284.6,284.6_L,-113.98685,36.17272,L
5000,284.76,284.76_L,-113.98802,36.17476,L
5250,284.94,284.94_L,-113.99015,36.17609,L
5500,285.1,285.1_L,-113.99286,36.1766,L
5750,285.25,285.25_L,-113.99547,36.17735,L
6000,285.4,285.4_L,-113.99803,36.17822,L
6250,285.55,285.55_L,-114.00057,36.17913,L
6500,285.69,285.69_L,-114.00258,36.18068,L
6750,285.83,285.83_L,-114.00361,36.18273,L
7000,285.96,285.96_L,-114.00336,36.18488,L
7250,286.11,286.11_L,-114.00262,36.18702,L
7500,286.26,286.26_L,-114.00182,36.18918,L
7750,286.43,286.43_L,-114.0015,36.19141,L
8000,286.62,286.62_L,-114.00185,36.19362,L
8250,286.79,286.79_L,-114.00414,36.19464,L
8500,286.94,286.94_L,-114.00681,36.19522,L
8750,287.09,287.09_L,-114.00927,36.19627,L
9000,287.26,287.26_L,-114.01191,36.19694,L
9250,287.41,287.41_L,-114.01454,36.19654,L
9500,287.56,287.56_L,-114.01721,36.19593,L
9750,287.72,287.72_L,-114.01995,36.19554,L
10000,287.86,287.86_L,-114.02264,36.19566,L
10250,288.02,288.02_L,-114.0253,36.19532,L
10500,288.19,288.19_L,-114.02772,36.19421,L
10750,288.34,288.34_L,-114.03004,36.19297,L
11000,288.52,288.52_L,-114.03087,36.19086,L
11250,288.66,288.66_L,-114.03129,36.18864,L
11500,288.78,288.78_L,-114.03304,36.18697,L
11750,288.91,288.91_L,-114.03569,36.18677,L
12000,289.08,289.08_L,-114.03822,36.18674,L
12250,289.24,289.24_L,-114.04061,36.18558,L
12500,289.38,289.38_L,-114.04315,36.18471,L
12750,289.47,289.47_L,-114.04564,36.18515,L
13000,289.57,289.57_L,-114.04519,36.18702,L
13250,289.71,289.71_L,-114.04478,36.18904,L
13500,289.86,289.86_L,-114.04449,36.19128,L
13750,290.03,290.03_L,-114.04443,36.1935,L
14000,290.23,290.23_L,-114.04528,36.19548,L
14250,290.4,290.4_L,-114.04734,36.19415,L
14500,290.55,290.55_L,-114.04935,36.19262,L
14750,290.7,290.7_L,-114.05166,36.19137,L
15000,290.85,290.85_L,-114.05407,36.19024,L
15250,291.01,291.01_L,-114.05641,36.18906,L
15500,291.16,291.16_L,-114.05871,36.18786,L
15750,291.32,291.32_L,-114.06091,36.18648,L
16000,291.47,291.47_L,-114.06315,36.18515,L
16250,291.63,291.63_L,-114.06528,36.18371,L
16500,291.8,291.8_L,-114.06715,36.18205,L
16750,291.95,291.95_L,-114.0687,36.18018,L
17000,292.11,292.11_L,-114.07005,36.17821,L
17250,292.27,292.27_L,-114.07115,36.17615,L
17500,292.43,292.43_L,-114.0719,36.17398,L
17750,292.58,292.58_L,-114.07268,36.17183,L
18000,292.74,292.74_L,-114.07328,36.16966,L
18250,292.89,292.89_L,-114.07363,36.16743,L
18500,293.05,293.05_L,-114.07387,36.16518,L
18750,293.19,293.19_L,-114.07435,36.16297,L
19000,293.33,293.33_L,-114.07594,36.16121,L
19250,293.48,293.48_L,-114.07754,36.15938,L
19500,293.63,293.63_L,-114.07893,36.15743,L
19750,293.77,293.77_L,-114.08033,36.15549,L
20000,293.91,293.91_L,-114.08187,36.15361,L
20250,294.06,294.06_L,-114.08365,36.15191,L
20500,294.14,294.14_L,-114.08624,36.15227,L
20750,294.3,294.3_L,-114.08885,36.15187,L
21000,294.48,294.48_L,-114.08958,36.15016,L
21250,294.62,294.62_L,-114.09006,36.14835,L
21500,294.77,294.77_L,-114.08945,36.14617,L
21750,294.92,294.92_L,-114.08939,36.14392,L
22000,295.08,295.08_L,-114.08948,36.14167,L
22250,295.22,295.22_L,-114.09,36.13947,L
22500,295.36,295.36_L,-114.09136,36.13756,L
22750,295.52,295.52_L,-114.09251,36.13566,L
23000,295.67,295.67_L,-114.09391,36.13377,L
23250,295.82,295.82_L,-114.09541,36.13187,L
23500,295.98,295.98_L,-114.0969,36.12997,L
23750,296.11,296.11_L,-114.09855,36.12817,L
24000,296.27,296.27_L,-114.10048,36.12656,L
24250,296.42,296.42_L,-114.1024,36.12494,L
24500,296.58,296.58_L,-114.10412,36.12317,L
24750,296.73,296.73_L,-114.10568,36.12132,L
0,281.7,281.7_R,-113.98797,36.13243,R
250,281.81,281.81_R,-113.98676,36.13413,R
500,281.95,281.95_R,-113.98664,36.13638,R
750,282.09,282.09_R,-113.98744,36.13853,R
1000,282.24,282.24_R,-113.98902,36.14036,R
1250,282.4,282.4_R,-113.99076,36.14207,R
1500,282.56,282.56_R,-113.99061,36.14423,R
1750,282.71,282.71_R,-113.99034,36.14643,R
2000,282.86,282.86_R,-113.99024,36.14868,R
2250,283.02,283.02_R,-113.99018,36.15094,R
2500,283.18,283.18_R,-113.98975,36.15316,R
2750,283.34,283.34_R,-113.9888,36.15528,R
3000,283.49,283.49_R,-113.98782,36.15739,R
3250,283.65,283.65_R,-113.98681,36.15948,R
3500,283.8,283.8_R,-113.98614,36.16165,R
3750,283.95,283.95_R,-113.98532,36.1638,R
4000,284.11,284.11_R,-113.98479,36.16601,R
4250,284.26,284.26_R,-113.98441,36.16823,R
4500,284.4,284.4_R,-113.98423,36.17046,R
4750,284.55,284.55_R,-113.98529,36.17251,R
5000,284.7,284.7_R,-113.98631,36.17459,R
5250,284.83,284.83_R,-113.988,36.17623,R
5500,284.96,284.96_R,-113.99022,36.17726,R
5750,285.09,285.09_R,-113.99254,36.17738,R
6000,285.25,285.25_R,-113.99517,36.17809,R
6250,285.41,285.41_R,-113.99746,36.17935,R
6500,285.57,285.57_R,-113.99977,36.18056,R
6750,285.76,285.76_R,-114.0018,36.18206,R
7000,285.93,285.93_R,-114.00193,36.18427,R
7250,286.09,286.09_R,-114.00165,36.18646,R
7500,286.24,286.24_R,-114.0007,36.18857,R
7750,286.39,286.39_R,-113.99995,36.19074,R
8000,286.52,286.52_R,-113.9999,36.19297,R
8250,286.65,286.65_R,-114.00138,36.19469,R
8500,286.78,286.78_R,-114.00373,36.19562,R
8750,286.94,286.94_R,-114.00629,36.19648,R
9000,287.1,287.1_R,-114.00895,36.19714,R
9250,287.24,287.24_R,-114.01164,36.19768,R
9500,287.38,287.38_R,-114.01416,36.19732,R
9750,287.53,287.53_R,-114.01683,36.1971,R
10000,287.68,287.68_R,-114.01959,36.19692,R
10250,287.84,287.84_R,-114.02226,36.1965,R
10500,287.98,287.98_R,-114.02488,36.19611,R
10750,288.14,288.14_R,-114.02743,36.19523,R
11000,288.29,288.29_R,-114.02974,36.19399,R
11250,288.42,288.42_R,-114.03135,36.19232,R
11500,288.56,288.56_R,-114.03199,36.19032,R
11750,288.75,288.75_R,-114.03338,36.18839,R
12000,288.93,288.93_R,-114.03588,36.18799,R
12250,289.06,289.06_R,-114.03863,36.18791,R
12500,289.21,289.21_R,-114.0408,36.18651,R
12750,289.37,289.37_R,-114.04324,36.18552,R
13000,289.58,289.58_R,-114.04406,36.18713,R
13250,289.74,289.74_R,-114.04378,36.18937,R
13500,289.89,289.89_R,-114.04316,36.19156,R
13750,290.04,290.04_R,-114.04315,36.19381,R
14000,290.17,290.17_R,-114.04383,36.19599,R
14250,290.26,290.26_R,-114.04623,36.19636,R
14500,290.36,290.36_R,-114.04785,36.19522,R
14750,290.53,290.53_R,-114.05001,36.19384,R
15000,290.69,290.69_R,-114.05233,36.1926,R
15250,290.84,290.84_R,-114.05463,36.19134,R
15500,291,291_R,-114.05692,36.19006,R
15750,291.15,291.15_R,-114.05911,36.18867,R
16000,291.3,291.3_R,-114.06135,36.18733,R
16250,291.46,291.46_R,-114.0636,36.18602,R
16500,291.61,291.61_R,-114.06578,36.18463,R
16750,291.76,291.76_R,-114.06773,36.18302,R
17000,291.91,291.91_R,-114.06926,36.18114,R
17250,292.07,292.07_R,-114.07084,36.17929,R
17500,292.22,292.22_R,-114.07211,36.17729,R
17750,292.37,292.37_R,-114.07309,36.17519,R
18000,292.52,292.52_R,-114.0739,36.17305,R
18250,292.67,292.67_R,-114.07462,36.17087,R
18500,292.83,292.83_R,-114.07546,36.16873,R
18750,292.98,292.98_R,-114.07628,36.16661,R
19000,293.13,293.13_R,-114.07693,36.16452,R
19250,293.3,293.3_R,-114.07761,36.16237,R
19500,293.46,293.46_R,-114.07874,36.16037,R
19750,293.61,293.61_R,-114.08051,36.15863,R
20000,293.78,293.78_R,-114.08256,36.15712,R
20250,293.94,293.94_R,-114.08459,36.15557,R
20500,294.1,294.1_R,-114.08613,36.15371,R
20750,294.26,294.26_R,-114.08856,36.15273,R
21000,294.38,294.38_R,-114.09095,36.15184,R
21250,294.45,294.45_R,-114.091,36.15037,R
21500,294.56,294.56_R,-114.09217,36.14919,R
21750,294.65,294.65_R,-114.09109,36.14759,R
22000,294.81,294.81_R,-114.09135,36.14558,R
22250,294.96,294.96_R,-114.09112,36.14334,R
22500,295.12,295.12_R,-114.09103,36.14109,R
22750,295.3,295.3_R,-114.09149,36.13889,R
23000,295.45,295.45_R,-114.09348,36.13748,R
23250,295.59,295.59_R,-114.09514,36.13569,R
23500,295.75,295.75_R,-114.09644,36.1337,R
23750,295.91,295.91_R,-114.09798,36.13184,R
24000,296.08,296.08_R,-114.09989,36.13021,R
24250,296.23,296.23_R,-114.10203,36.12879,R
24500,296.38,296.38_R,-114.10385,36.12717,R
24750,296.53,296.53_R,-114.10619,36.12596,R
25000,296.68,296.68_R,-114.10851,36.12473,R
25250,296.83,296.83_R,-114.11106,36.12384,R
