"RM","name","end","reach","notes"
281.86,"281.86_L","282.02_L",1,"P201"
282.24,"282.24_R","282.4_R",1,"P202"
282.56,"282.56_R","282.71_R",1,"P203"
282.76,"282.76_L","282.91_L",1,"P204"
282.86,"282.86_R","283.02_R",1,"P205"
283.51,"283.51_L","283.66_L",1,"P206"
283.65,"283.65_R","283.8_R",1,"P207"
283.81,"283.81_L","283.95_L",1,"P208"
284.27,"284.27_L","284.44_L",1,"P209"
284.55,"284.55_R","284.7_R",1,"P210"
284.7,"284.7_R","284.83_R",1,"P211"
285.69,"285.69_L","285.83_L",1,"P212"
285.76,"285.76_R","285.93_R",1,"P213"
285.83,"285.83_L","285.96_L",1,"P214"
285.93,"285.93_R","286.09_R",1,"P215"
285.96,"285.96_L","286.11_L",1,"P216"
286.09,"286.09_R","286.24_R",1,"P217"
286.79,"286.79_L","286.94_L",2,"P301"
286.94,"286.94_R","287.1_R",2,"P302"
287.68,"287.68_R","287.84_R",2,"P303"
287.98,"287.98_R","288.14_R",2,"P304"
288.14,"288.14_R","288.29_R",2,"P305"
288.42,"288.42_R","288.56_R",2,"P306"
288.52,"288.52_L","288.66_L",2,"P307"
288.93,"288.93_R","289.06_R",2,"P308"
289.06,"289.06_R","289.21_R",2,"P309"
289.24,"289.24_L","289.38_L",2,"P310"
289.47,"289.47_L","289.57_L",2,"P311"
289.57,"289.57_L","289.71_L",2,"P312"
289.89,"289.89_R","290.04_R",2,"P313"
290.23,"290.23_L","290.4_L",2,"P314"
290.85,"290.85_L","291.01_L",2,"P315"
291.32,"291.32_L","291.47_L",2,"P316"
291.63,"291.63_L","291.8_L",2,"P317"
291.76,"291.76_R","291.91_R",3,"P101"
292.07,"292.07_R","292.22_R",3,"P102"
292.98,"292.98_R","293.13_R",3,"P103"
293.19,"293.19_L","293.33_L",3,"P104"
293.63,"293.63_L","293.77_L",3,"P105"
293.94,"293.94_R","294.1_R",3,"P106"
294.3,"294.3_L","294.48_L",3,"P107"
294.56,"294.56_R","294.65_R",3,"P108"
294.62,"294.62_L","294.77_L",3,"P109"
294.65,"294.65_R","294.81_R",3,"P110"
294.77,"294.77_L","294.92_L",3,"P111"
294.81,"294.81_R","294.96_R",3,"P112"
295.12,"295.12_R","295.3_R",3,"P113"
295.91,"295.91_R","296.08_R",3,"P114"
295.98,"295.98_L","296.11_L",3,"P115"
296.53,"296.53_R","296.68_R",3,"P116"
296.68,"296.68_R","296.83_R",3,"P117"
